,beta,delta,val
0,0.75,0.92,3310528.158055695
1,0.75,0.922,2964412.22726401
2,0.75,0.924,2584731.3765043616
3,0.75,0.926,2186660.2240051907
4,0.75,0.928,1814155.0571563481
5,0.75,0.93,1461042.6953108227
6,0.75,0.932,1139748.957471097
7,0.75,0.934,843023.7053349512
8,0.75,0.936,604507.6507144168
9,0.75,0.9380000000000001,421423.07897689263
10,0.75,0.94,284848.4460133406
11,0.75,0.942,181403.25880705545
12,0.75,0.944,109352.39439615663
13,0.75,0.946,62150.101235757815
14,0.75,0.948,32357.57535291089
15,0.75,0.95,14593.204463013073
16,0.75,0.952,6553.0477144566885
17,0.75,0.954,4599.613726635992
18,0.75,0.956,6574.620919376937
19,0.75,0.958,11153.721559831254
20,0.75,0.96,17316.555961186128
21,0.76,0.92,3209941.0683895014
22,0.76,0.922,2855175.4314419115
23,0.76,0.924,2464058.309375706
24,0.76,0.926,2079579.3181932126
25,0.76,0.928,1711538.8691808055
26,0.76,0.93,1367752.91628958
27,0.76,0.932,1051126.9143676842
28,0.76,0.934,761141.955443879
29,0.76,0.936,543237.6935462261
30,0.76,0.9380000000000001,374869.77406082954
31,0.76,0.94,246489.37778565957
32,0.76,0.942,154622.945661549
33,0.76,0.944,89029.98349805948
34,0.76,0.946,48795.84814406056
35,0.76,0.948,23711.777681209118
36,0.76,0.95,10080.1731241159
37,0.76,0.952,4675.838548629956
38,0.76,0.954,4657.74749536012
39,0.76,0.956,7803.6442007763935
40,0.76,0.958,13116.788599520836
41,0.76,0.96,19809.169057459992
42,0.77,0.92,3109775.7493039984
43,0.77,0.922,2746048.3723009853
44,0.77,0.924,2363612.081332879
45,0.77,0.926,1973428.1840079268
46,0.77,0.928,1622796.2481976426
47,0.77,0.93,1275462.5787926305
48,0.77,0.932,960687.0868194993
49,0.77,0.934,690852.3187749325
50,0.77,0.936,486004.58445261786
51,0.77,0.9380000000000001,328411.1078551332
52,0.77,0.94,211487.7379042627
53,0.77,0.942,130044.68398885852
54,0.77,0.944,72658.46224989573
55,0.77,0.946,38155.1845816469
56,0.77,0.948,17361.85690103444
57,0.77,0.95,6994.540417296398
58,0.77,0.952,3778.3528170663476
59,0.77,0.954,5300.916322478579
60,0.77,0.956,9331.624335973294
61,0.77,0.958,15076.001369720887
62,0.77,0.96,22426.942495981104
63,0.78,0.92,3003502.7246760605
64,0.78,0.922,2634904.5161437653
65,0.78,0.924,2261472.7361481395
66,0.78,0.926,1872885.795132498
67,0.78,0.928,1518092.897262354
68,0.78,0.93,1185155.2266050277
69,0.78,0.932,877488.6471022728
70,0.78,0.934,625258.656519446
71,0.78,0.936,431685.521710228
72,0.78,0.9380000000000001,289924.66622502205
73,0.78,0.94,182741.73363167
74,0.78,0.942,106854.24974104937
75,0.78,0.944,58144.79215243952
76,0.78,0.946,29095.956926450046
77,0.78,0.948,12172.839221807328
78,0.78,0.95,4682.876685980643
79,0.78,0.952,3687.228760677283
80,0.78,0.954,6341.071571536573
81,0.78,0.956,11278.133717027118
82,0.78,0.958,17656.61858365224
83,0.78,0.96,25197.62142872711
84,0.79,0.92,2906006.6285291994
85,0.79,0.922,2537097.4743928276
86,0.79,0.924,2161020.809310602
87,0.79,0.926,1769434.5432414012
88,0.79,0.928,1428870.1068110312
89,0.79,0.93,1098596.2422504828
90,0.79,0.932,805751.6380357557
91,0.79,0.934,565128.560010924
92,0.79,0.936,386217.37578008504
93,0.79,0.9380000000000001,252834.6552917705
94,0.79,0.94,154744.26793091444
95,0.79,0.942,87800.09198167958
96,0.79,0.944,46932.34460619981
97,0.79,0.946,21671.327423430637
98,0.79,0.948,8383.118497479234
99,0.79,0.95,3575.387093417794
100,0.79,0.952,4191.955007937235
101,0.79,0.954,7738.750570817724
102,0.79,0.956,13295.571431537048
103,0.79,0.958,20230.59786645524
104,0.79,0.96,28220.057188166502
105,0.8,0.92,2807683.823905783
106,0.8,0.922,2436732.2509149844
107,0.8,0.924,2057004.1906216664
108,0.8,0.926,1682621.9059381995
109,0.8,0.928,1343128.7616094407
110,0.8,0.93,1019824.7352738845
111,0.8,0.932,738858.839143229
112,0.8,0.934,513517.15114234196
113,0.8,0.936,342942.41540338116
114,0.8,0.9380000000000001,222176.10294376116
115,0.8,0.94,130489.34297239412
116,0.8,0.942,71867.49322492137
